DATE,FTSE100
1/3/2017,7177.89
1/4/2017,7189.74
1/5/2017,7195.31
1/6/2017,7210.05
1/9/2017,7237.77
1/10/2017,7275.47
1/11/2017,7290.49
1/12/2017,7292.37
1/13/2017,7337.81
1/16/2017,7327.13
1/17/2017,7220.38
1/18/2017,7247.61
1/19/2017,7208.44
1/20/2017,7198.44
1/23/2017,7151.18
1/24/2017,7150.34
1/25/2017,7164.43
1/26/2017,7161.49
1/27/2017,7184.49
1/30/2017,7118.48
1/31/2017,7099.15
2/1/2017,7107.65
2/2/2017,7140.75
2/3/2017,7188.3
2/6/2017,7172.15
2/7/2017,7186.22
2/8/2017,7188.82
2/9/2017,7229.5
2/10/2017,7258.75
2/13/2017,7278.92
2/14/2017,7268.56
2/15/2017,7302.41
2/16/2017,7277.92
2/17/2017,7299.96
2/20/2017,7299.86
2/21/2017,7274.83
2/22/2017,7302.25
2/23/2017,7271.37
2/24/2017,7243.7
2/27/2017,7253
2/28/2017,7263.44
3/1/2017,7382.9
3/2/2017,7382.35
3/3/2017,7374.26
3/6/2017,7350.12
3/7/2017,7338.99
3/8/2017,7334.61
3/9/2017,7314.96
3/10/2017,7343.08
3/13/2017,7367.08
3/14/2017,7357.85
3/15/2017,7368.64
3/16/2017,7415.95
3/17/2017,7424.96
3/20/2017,7429.81
3/21/2017,7378.34
3/22/2017,7324.72
3/23/2017,7340.71
3/24/2017,7336.82
3/27/2017,7293.5
3/28/2017,7343.42
3/29/2017,7373.72
3/30/2017,7369.52
3/31/2017,7322.92
4/3/2017,7282.69
4/4/2017,7321.82
4/5/2017,7331.68
4/6/2017,7303.2
4/7/2017,7349.37
4/10/2017,7348.94
4/11/2017,7365.5
4/12/2017,7348.99
4/13/2017,7327.59
4/18/2017,7147.5
4/19/2017,7114.36
4/20/2017,7118.54
4/21/2017,7114.55
4/24/2017,7264.68
4/25/2017,7275.64
4/26/2017,7288.72
4/27/2017,7237.17
4/28/2017,7203.94
5/2/2017,7250.05
5/3/2017,7234.53
5/4/2017,7248.1
5/5/2017,7297.43
5/8/2017,7300.86
5/9/2017,7342.21
5/10/2017,7385.24
5/11/2017,7386.63
5/12/2017,7435.39
5/15/2017,7454.37
5/16/2017,7522.03
5/17/2017,7503.47
5/18/2017,7436.42
5/19/2017,7470.71
5/22/2017,7496.34
5/23/2017,7485.29
5/24/2017,7514.9
5/25/2017,7517.71
5/26/2017,7547.63
5/30/2017,7526.51
5/31/2017,7519.95
6/1/2017,7543.77
6/2/2017,7547.63
6/5/2017,7525.76
6/6/2017,7524.95
6/7/2017,7478.62
6/8/2017,7449.98
6/9/2017,7527.33
6/12/2017,7511.87
6/13/2017,7500.44
6/14/2017,7474.4
6/15/2017,7419.36
6/16/2017,7463.54
6/19/2017,7523.81
6/20/2017,7472.71
6/21/2017,7447.79
6/22/2017,7439.29
6/23/2017,7424.13
6/26/2017,7446.8
6/27/2017,7434.36
6/28/2017,7387.8
6/29/2017,7350.32
6/30/2017,7312.72
7/3/2017,7377.09
7/4/2017,7357.23
7/5/2017,7367.6
7/6/2017,7337.28
7/7/2017,7350.92
7/10/2017,7370.03
7/11/2017,7329.76
7/12/2017,7416.93
7/13/2017,7413.44
7/14/2017,7378.39
7/17/2017,7404.13
7/18/2017,7390.22
7/19/2017,7430.91
7/20/2017,7487.87
7/21/2017,7452.91
7/24/2017,7377.73
7/25/2017,7434.82
7/26/2017,7452.32
7/27/2017,7443.01
7/28/2017,7368.37
7/31/2017,7372
8/1/2017,7423.66
8/2/2017,7411.43
8/3/2017,7474.77
8/4/2017,7511.71
8/7/2017,7531.94
8/8/2017,7542.73
8/9/2017,7498.06
8/10/2017,7389.94
8/11/2017,7309.96
8/14/2017,7353.89
8/15/2017,7383.85
8/16/2017,7433.03
8/17/2017,7387.87
8/18/2017,7323.98
8/21/2017,7318.88
8/22/2017,7381.74
8/23/2017,7382.65
8/24/2017,7407.06
8/25/2017,7401.46
8/29/2017,7337.43
8/30/2017,7365.26
8/31/2017,7430.62
9/1/2017,7438.5
9/4/2017,7411.47
9/5/2017,7372.92
9/6/2017,7354.13
9/7/2017,7396.98
9/8/2017,7377.6
9/11/2017,7413.59
9/12/2017,7400.69
9/13/2017,7379.7
9/14/2017,7295.39
9/15/2017,7215.47
9/18/2017,7253.28
9/19/2017,7275.25
9/20/2017,7271.95
9/21/2017,7263.9
9/22/2017,7310.64
9/25/2017,7301.29
9/26/2017,7285.74
9/27/2017,7313.51
9/28/2017,7322.82
9/29/2017,7372.76
10/2/2017,7438.84
10/3/2017,7468.11
10/4/2017,7467.58
10/5/2017,7507.99
10/6/2017,7522.87
10/9/2017,7507.89
10/10/2017,7538.27
10/11/2017,7533.81
10/12/2017,7556.24
10/13/2017,7535.44
10/16/2017,7526.97
10/17/2017,7516.17
10/18/2017,7542.87
10/19/2017,7523.04
10/20/2017,7523.23
10/23/2017,7524.45
10/24/2017,7526.54
10/25/2017,7447.21
10/26/2017,7486.5
10/27/2017,7505.03
10/30/2017,7487.81
10/31/2017,7493.08
11/1/2017,7487.96
11/2/2017,7555.32
11/3/2017,7560.35
11/6/2017,7562.28
11/7/2017,7513.11
11/8/2017,7529.72
11/9/2017,7484.1
11/10/2017,7432.99
11/13/2017,7415.18
11/14/2017,7414.42
11/15/2017,7372.61
11/16/2017,7386.94
11/17/2017,7380.68
11/20/2017,7389.46
11/21/2017,7411.34
11/22/2017,7419.02
11/23/2017,7417.24
11/24/2017,7409.64
11/27/2017,7383.9
11/28/2017,7460.65
11/29/2017,7393.56
11/30/2017,7326.67
12/1/2017,7300.49
12/4/2017,7338.97
12/5/2017,7327.5
12/6/2017,7348.03
12/7/2017,7320.75
12/8/2017,7393.96
12/11/2017,7453.48
12/12/2017,7500.41
12/13/2017,7496.51
12/14/2017,7448.12
12/15/2017,7490.57
12/18/2017,7537.01
12/19/2017,7544.09
12/20/2017,7525.22
12/21/2017,7603.98
12/22/2017,7592.66
12/27/2017,7620.68
12/28/2017,7622.88
12/29/2017,7687.77
1/2/2018,7648.1
1/3/2018,7671.11
1/4/2018,7695.88
1/5/2018,7724.22
1/8/2018,7696.51
1/9/2018,7731.02
1/10/2018,7748.51
1/11/2018,7762.94
1/12/2018,7778.64
1/15/2018,7769.14
1/16/2018,7755.93
1/17/2018,7725.43
1/18/2018,7700.96
1/19/2018,7730.79
1/22/2018,7715.44
1/23/2018,7731.83
1/24/2018,7643.43
1/25/2018,7615.84
1/26/2018,7665.54
1/29/2018,7671.53
1/30/2018,7587.98
1/31/2018,7533.55
2/1/2018,7490.39
2/2/2018,7443.43
2/5/2018,7334.98
2/6/2018,7141.4
2/7/2018,7279.42
2/8/2018,7170.69
2/9/2018,7092.43
2/12/2018,7177.06
2/13/2018,7168.01
2/14/2018,7213.97
2/15/2018,7234.81
2/16/2018,7294.7
2/19/2018,7247.66
2/20/2018,7246.77
2/21/2018,7281.57
2/22/2018,7252.39
2/23/2018,7244.41
2/26/2018,7289.58
2/27/2018,7282.45
2/28/2018,7231.91
3/1/2018,7175.64
3/2/2018,7069.9
3/5/2018,7115.98
3/6/2018,7146.75
3/7/2018,7157.84
3/8/2018,7203.24
3/9/2018,7224.51
3/12/2018,7214.76
3/13/2018,7138.78
3/14/2018,7132.69
3/15/2018,7139.76
3/16/2018,7164.14
3/19/2018,7042.93
3/20/2018,7061.27
3/21/2018,7038.97
3/22/2018,6952.59
3/23/2018,6921.94
3/26/2018,6888.69
3/27/2018,7000.14
3/28/2018,7044.74
3/29/2018,7056.61
