DATE,Sse
12/14/2017,3292.44
12/15/2017,3266.14
12/18/2017,3267.92
12/19/2017,3296.54
12/20/2017,3287.61
12/21/2017,3300.06
12/22/2017,3297.06
12/25/2017,3280.84
12/26/2017,3306.13
12/27/2017,3275.78
12/28/2017,3296.39
12/29/2017,3307.17
1/2/2018,3348.33
1/3/2018,3369.11
1/4/2018,3385.71
1/5/2018,3391.75
1/8/2018,3409.48
1/9/2018,3413.90
1/10/2018,3421.83
1/11/2018,3425.34
1/12/2018,3428.94
1/15/2018,3410.49
1/16/2018,3436.59
1/17/2018,3444.67
1/18/2018,3474.75
1/19/2018,3487.86
1/22/2018,3501.36
1/23/2018,3546.50
1/24/2018,3559.47
1/25/2018,3548.31
1/26/2018,3558.13
1/29/2018,3523.00
1/30/2018,3488.01
1/31/2018,3480.83
2/1/2018,3446.98
2/2/2018,3462.08
2/5/2018,3487.50
2/6/2018,3370.65
2/7/2018,3309.26
2/8/2018,3262.05
2/9/2018,3129.85
2/12/2018,3154.13
2/13/2018,3184.96
2/14/2018,3199.16
2/22/2018,3268.56
2/23/2018,3289.02
2/26/2018,3329.57
2/27/2018,3292.07
2/28/2018,3259.41
3/1/2018,3273.75
3/2/2018,3254.53
3/5/2018,3256.93
3/6/2018,3289.64
3/7/2018,3271.67
3/8/2018,3288.41
3/9/2018,3307.17
3/12/2018,3326.70
3/13/2018,3310.24
3/14/2018,3291.38
3/15/2018,3291.11
3/16/2018,3269.88
3/19/2018,3279.25
3/20/2018,3290.64
3/21/2018,3280.95
3/22/2018,3263.48
3/23/2018,3152.76
3/26/2018,3133.72
3/27/2018,3166.65
3/28/2018,3122.29
3/29/2018,3160.53
3/30/2018,3169.02
