DATE,eurostoxx50
1/23/2018,3672.29
1/24/2018,3643.22
1/25/2018,3630.15
1/26/2018,3647.41
1/29/2018,3643.04
1/30/2018,3606.75
1/31/2018,3609.29
2/1/2018,3577.35
2/2/2018,3523.28
2/5/2018,3478.77
2/6/2018,3394.92
2/7/2018,3454.52
2/8/2018,3377.30
2/9/2018,3325.99
2/12/2018,3368.25
2/13/2018,3340.93
2/14/2018,3369.83
2/15/2018,3389.63
2/16/2018,3426.80
2/19/2018,3407.79
2/20/2018,3435.08
2/21/2018,3430.16
2/22/2018,3431.99
2/23/2018,3441.46
2/26/2018,3463.18
2/27/2018,3458.03
2/28/2018,3438.96
3/1/2018,3399.16
3/2/2018,3324.75
3/5/2018,3355.32
3/6/2018,3357.86
3/7/2018,3377.36
3/8/2018,3413.28
3/9/2018,3420.54
3/12/2018,3429.48
3/13/2018,3397.35
3/14/2018,3390.98
3/15/2018,3414.13
3/16/2018,3437.40
3/19/2018,3394.79
3/20/2018,null
3/21/2018,3401.04
3/22/2018,3348.19
3/23/2018,3298.07
3/26/2018,null
3/27/2018,3316.95
3/28/2018,3331.25
3/29/2018,3361.50
